OBJECTID,REF_NUMBER,TIME,SEVERITY,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,ACCIDENT_DESCRIPTION
2346,161604550,1655,1,2,2,0,0,0,0,1
2349,161604574,1536,1,2,4,0,0,0,0,3
2350,161604579,1458,1,2,2,0,0,0,1,1
2259,161603172,1130,1,2,1,0,1,0,0,4
2281,161603625,1530,1,1,1,1,0,0,1,5
2296,161603795,800,1,2,1,0,1,0,0,1
2298,161603806,1223,2,2,1,0,1,0,0,6
2308,161603568,1610,1,1,1,1,0,0,0,5
2467,161605728,1940,1,4,1,0,0,0,0,2
2470,161605739,959,1,1,1,1,0,0,0,5
2471,161605761,1202,1,2,1,0,0,0,0,2
2487,161605928,2230,1,1,1,0,0,0,0,4
2488,161605516,30,1,2,1,0,0,0,0,3
2490,161605626,1430,1,2,1,0,0,0,1,1
2381,161604897,740,1,2,1,0,0,1,0,3
2394,161604787,1315,1,2,1,0,0,0,0,2
2398,161605057,1328,2,1,1,1,0,0,0,5
2401,161605086,1615,1,2,1,0,1,0,0,6
2405,161605155,1410,2,2,1,0,0,1,0,3
2412,161604829,1000,1,2,1,0,1,0,0,3
2422,161605256,1505,1,2,2,0,0,0,1,2
2427,161605300,723,1,2,1,0,0,1,0,3
2436,161605151,1730,1,2,1,0,1,0,0,3
2446,161605484,215,1,2,2,0,0,0,0,3
2447,161605494,2220,1,2,1,0,1,0,0,1
2451,161605556,750,1,2,1,0,0,1,0,4
2510,161606209,1430,1,2,1,0,0,0,0,1
5,141400165,753,1,2,1,0,1,0,0,1
9,141400241,1430,1,2,1,0,1,0,0,6
19,141400379,1800,1,2,1,0,1,0,0,1
22,141400421,2235,1,2,1,0,0,0,0,3
24,141400494,2000,1,2,1,0,0,0,0,3
68,141401190,1100,1,2,1,0,1,0,0,1
89,141402360,1525,2,1,1,1,0,0,1,5
94,141400836,9,1,3,2,0,0,0,0,3
114,141401411,1830,1,2,1,0,1,0,0,1
38,141400759,2315,1,3,1,0,0,0,0,2
41,141400797,1421,1,2,1,0,1,0,0,3
116,141401465,2222,1,2,3,0,0,0,0,1
127,141401913,2015,2,1,1,1,0,0,0,5
128,141401921,1816,1,2,1,0,1,0,0,3
130,141401960,927,1,2,1,0,0,1,0,6
138,141402363,1500,1,1,1,1,0,0,1,5
145,141402438,2225,2,2,1,0,1,0,0,3
255,141403126,2250,1,3,2,0,0,0,0,1
261,141403218,1455,1,3,2,0,0,0,0,3
267,141403262,1703,1,2,1,0,0,1,0,2
268,141403281,1753,1,1,1,1,0,0,0,5
276,141403367,855,1,1,2,2,0,0,1,5
289,141403533,2359,2,2,1,0,0,1,0,1
291,141403486,1630,1,2,1,0,0,1,0,1
292,141403488,730,1,3,1,0,1,0,0,3
170,141401657,1155,1,2,3,0,0,0,0,1
182,141402022,1240,1,2,1,0,0,0,0,3
183,141402029,2045,2,2,1,0,0,1,0,1
189,141402166,2210,1,2,2,0,0,0,2,2
195,141402234,1935,1,2,2,0,0,0,0,1
198,141402415,1745,1,2,1,0,0,0,0,1
208,141403113,1735,1,5,2,0,0,0,1,4
212,141403185,2205,1,2,1,0,0,0,0,1
219,141403616,1300,1,3,1,0,0,0,0,1
220,141403662,745,1,2,1,0,0,0,0,3
225,141402456,1425,1,2,2,0,0,0,0,2
226,141402466,1500,1,2,1,0,1,0,0,3
244,141402905,855,1,3,1,0,0,1,0,1
414,141404657,1635,1,2,1,0,0,0,0,1
296,141403633,2049,1,2,2,0,0,0,0,2
309,141403770,1645,1,2,2,0,0,0,0,3
334,141403944,1009,1,2,1,0,1,0,1,1
341,141404036,1908,1,3,1,0,0,0,0,2
354,141404330,535,1,1,2,0,0,0,0,4
415,141404659,1354,1,3,1,0,0,0,0,2
417,141404661,2030,1,2,1,0,0,1,0,1
452,141405031,646,1,2,1,0,0,0,0,3
370,141404521,1601,1,2,1,0,1,0,0,1
385,141404595,1526,1,2,1,0,0,0,0,2
392,141404205,1950,1,1,1,1,0,0,0,5
